Scientific Name,Common Names,Category
Alces alces,Moose,Mammal
Odocoileus virginianus,"Northern White-Tailed Deer, Virginia Deer, White-Tailed Deer",Mammal
Canis latrans,"Coyote, Eastern Coyote",Mammal
Canis lupus,"Eastern Timber Wolf, Gray Wolf, Timber Wolf",Mammal
Vulpes vulpes,"Black Fox, Cross Fox, Eastern Red Fox, Fox, Red Fox, Silver Fox",Mammal
Lynx canadensis,Canada Lynx,Mammal
Lynx rufus,"Bay Lynx, Bobcat, Red Lynx, Wild Cat",Mammal
Mephitis mephitis,"Eastern Skunk, Polecat, Striped Skunk",Mammal
Lutra canadensis,"Otter, River Otter",Mammal
Martes pennanti,"Blackcat, Fisher, Pekan",Mammal
Mustela,Weasel,Mammal
Mustela erminea,"Bonaparte Weasel, Bonaparte's Weasel, Ermine, Short-Tailed Weasel",Mammal
Mustela frenata,"Long-Tailed Weasel, New York Weasel, Northern Long-Tailed Weasel",Mammal
Mustela macrodon,"Ancient Sea Mink, Big Sea Mink, Sea Mink",Mammal
Mustela vison,"American Mink, Mink",Mammal
Odobenus rosmarus,Walrus,Mammal
Halichoerus grypus,Gray Seal,Mammal
Phoca vitulina,"Common Seal, Hair Seal, Harbor Seal",Mammal
Procyon lotor,"Common Raccoon, Raccoon",Mammal
Ursus americanus,Black Bear,Mammal
Eptesicus fuscus,Black Bear,Mammal
Lasionycteris noctivagans,Silver-Haired Bat,Mammal
Lasiurus borealis,"Eastern Red Bat, New York Bat, Northern Red Bat, Red Bat",Mammal
Lasiurus cinereus,Hoary Bat,Mammal
Myotis keenii,"Keen's Myotis, Northern Long-Eared Bat, Northern Myotis, Say's Bat",Mammal
Myotis leibii,"Eastern Small-Footed Myotis, Small-Footed Myotis",Mammal
Myotis lucifugus,"Little Brown Bat, Little Brown Myotis",Mammal
Pipistrellus subflavus,"Eastern Pipistrelle, Northern Georgian Bat",Mammal
Lepus americanus,"Snowshoe Hare, Varying Hare",Mammal
Castor canadensis,"American Beaver, Beaver, Canadian Beaver",Mammal
Clethrionomys gapperi,"Boreal Redback Vole, Red-Backed Mouse, Red-Backed Vole, Southern Red-Backed Vole, White-Mountain Red-Backed Mouse",Mammal
Microtus pennsylvanicus,"Field Mouse, Meadow Mouse, Meadow Vole",Mammal
Ondatra zibethicus,"Common Muskrat, Muskrat, Musquash, Water Rat",Mammal
Peromyscus leucopus,White-Footed Mouse,Mammal
Peromyscus maniculatus,Deer Mouse,Mammal
Synaptomys cooperi,"Cooper Lemming Mouse, Southern Bog Lemming",Mammal
Napaeozapus insignis,Woodland Jumping Mouse,Mammal
Zapus hudsonius,"Hudson Bay Jumping Mouse, Kangaroo Mouse, Meadow Jumping Mouse",Mammal
Erethizon dorsatum,"Hedgehog, Porcupine",Mammal
Mus musculus,House Mouse,Mammal
Rattus norvegicus,"Brown Rat, Norway Rat",Mammal
Glaucomys,Glaucomys Sp.,Mammal
Glaucomys sabrinus,"Mearns Flying Squirrel, Northern Flying Squirrel",Mammal
Glaucomys volans,Southern Flying Squirrel,Mammal
Marmota monax,"Groundhog, New England Woodchuck, Woodchuck",Mammal
Sciurus carolinensis,"Eastern Gray Squirrel, Gray Squirrel, Northern Gray Squirrel",Mammal
Tamias striatus,"Northeastern Chipmunk, Striped Squirrel, Eastern Chipmunk, Ground Squirrel, Lyster Chipmunk",Mammal
Tamiasciurus hudsonicus,"Chickaree, Red Squirrel",Mammal
Blarina brevicauda,"Mole Shrew, Northern Short-Tailed Shrew, Short-Tailed Shrew",Mammal
Sorex cinereus,Masked Shrew,Mammal
Sorex fumeus,"Northern Smoky Shrew, Smoky Shrew",Mammal
Sorex hoyi,"Hoy's Pygmy Shrew, Pygmy Shrew, Thompson's Pygmy Shrew",Mammal
Sorex palustris,"Northern Water Shrew, Water Shrew, White-Lipped Water Shrew",Mammal
Condylura cristata,Star-Nosed Mole,Mammal
Parascalops breweri,"Brewer's Mole, Hairy-Tailed Mole",Mammal
Accipiter cooperii,Cooper's Hawk,Bird
Accipiter gentilis,"Eastern Goshawk, Goshawk, Northern Goshawk",Bird
Accipiter striatus,"Northern Sharp-Shinned Hawk, Sharp-Shinned Hawk",Bird
Aquila chrysaetos,"American Golden Eagle, Golden Eagle",Bird
Buteo jamaicensis,"Eastern Red-Tailed Hawk, Red-Tailed Hawk",Bird
Buteo lagopus,"American Rough-Legged Hawk, Rough-Legged Hawk",Bird
Buteo lineatus,"Northern Red-Shouldered Hawk, Red-Shouldered Hawk",Bird
Buteo platypterus,"Broad-Winged Hawk, Northern Broad-Winged Hawk",Bird
Buteo swainsoni,Swainson's Hawk,Bird
Circus cyaneus,"American Marsh Hawk, Marsh Hawk, Northern Harrier",Bird
Haliaeetus leucocephalus,"Bald Eagle, Northern Bald Eagle",Bird
Cathartes aura,"Eastern Turkey Vulture, Turkey Vulture",Bird
Pandion haliaetus,"American Osprey, Fish Hawk, Osprey",Bird
Aix sponsa,Wood Duck,Bird
Anas acuta,"American Pintail, Northern Pintail, Pintail",Bird
Anas americana,"American Wigeon, Baldpate",Bird
Anas clypeata,"Northern Shoveler, Shoveller",Bird
Anas crecca,Green-Winged Teal,Bird
Anas discors,Blue-Winged Teal,Bird
Anas penelope,"Eurasian Wigeon, European Widgeon, Widgeon",Bird
Anas platyrhynchos,"Common Mallard, Mallard",Bird
Anas rubripes,"American Black Duck, Black Duck, Common Black Duck, Red-Legged Black Duck",Bird
Anas strepera,Gadwall,Bird
Anser albifrons,"Common White-Fronted Goose, Greater White-Fronted Goose",Bird
Aythya affinis,"Lesser Scaup, Lesser Scaup Duck",Bird
Aythya americana,Redhead,Bird
Aythya collaris,Ring-Necked Duck,Bird
Aythya marila,"Greater Scaup, Greater Scaup Duck",Bird
Aythya valisineria,Canvasback,Bird
Branta bernicla,"American Brant, Brant",Bird
Branta canadensis,"Canada Goose, Eastern Canada Goose",Bird
Bucephala albeola,"Bufflehead, Buffle-Head",Bird
Bucephala clangula,"American Golden-Eye, Common Goldeneye",Bird
Bucephala islandica,Barrow's Goldeneye,Bird
Camptorhynchus labradorius,Labrador Duck,Bird
Chen caerulescens,"Blue Goose, Snow Goose",Bird
Clangula hyemalis,"Long-Tailed Duck, Old Squaw, Oldsquaw",Bird
Cygnus columbianus,"Tundra Swan, Whistling Swan",Bird
Histrionicus histrionicus,"Eastern Harlequin Duck, Harlequin Duck",Bird
Lophodytes cucullatus,Hooded Merganser,Bird
Melanitta fusca,"Eastern White-Winged Scoter, White-Winged Coot, White-Winged Scoter",Bird
Melanitta nigra,"American Common Scoter, American Scoter, Black Scoter, Butter-Bill, Common Scoter",Bird
Melanitta perspicillata,Surf Scoter,Bird
Mergus merganser,"American Merganser, Common Merganser",Bird
Mergus serrator,Red-Breasted Merganser,Bird
Oxyura jamaicensis,"Northern Ruddy Duck, Ruddy Duck",Bird
Somateria mollissima,"American Eider, Common Eider, Eider Duck, Northern Eider",Bird
Somateria spectabilis,King Eider,Bird
Chaetura pelagica,Chimney Swift,Bird
Archilochus colubris,Ruby-Throated Hummingbird,Bird
Selasphorus rufus,Rufous Hummingbird,Bird
Caprimulgus carolinensis,Chuck-Will's-Widow,Bird
Caprimulgus vociferus,"Eastern Whip-Poor-Will, Whip-Poor-Will",Bird
Chordeiles minor,"Common Nighthawk, Eastern Nighthawk",Bird
Alca torda,"Northern Razor-Billed Auk, Razorbill",Bird
Alle alle,"Common Dovekie, Dovekie",Bird
Cepphus grylle,"Black Guillemot, Sea Pigeon, Southern Black Guillemot",Bird
Fratercula arctica,Atlantic Puffin,Bird
Pinguinus impennis,Great Auk,Bird
Uria aalge,"Atlantic Murre, Common Murre",Bird
Uria lomvia,"Brunnich's Murre, Brunnich's Thick-Billed Murre, Thick-Billed Murre",Bird
Charadrius melodus,"Eastern Piping Plover, Piping Plover",Bird
Charadrius semipalmatus,"Ringed Plover, Semipalmated Plover, Semipalmated Ringed Plover",Bird
Charadrius vociferus,"Killdeer, Northern Killdeer",Bird
Pluvialis dominica,"American Golden Plover, American Golden-Plover, Eastern American Golden Plover",Bird
Pluvialis squatarola,Black-Bellied Plover,Bird
Haematopus palliatus,"American Oystercatcher, Eastern American Oystercatcher",Bird
Chlidonias niger,"American Black Tern, Black Tern",Bird
Larus argentatus,"American Herring Gull, Herring Gull",Bird
Larus atricilla,Laughing Gull,Bird
Larus delawarensis,Ring-Billed Gull,Bird
Larus fuscus,Lesser Black-Backed Gull,Bird
Larus glaucoides,"Eastern Iceland Gull, Iceland Gull",Bird
Larus hyperboreus,"Eastern Glaucous Gull, Glaucous Gull",Bird
Larus marinus,Great Black-Backed Gull,Bird
Larus minutus,Little Gull,Bird
Larus philadelphia,Bonaparte's Gull,Bird
Larus pipixcan,Franklin's Gull,Bird
Larus ridibundus,"Black-Headed Gull, Western Black-Headed Gull",Bird
Pagophila eburnea,Ivory Gull,Bird
Rissa tridactyla,"Atlantic Kittiwake, Black-Legged Kittiwake",Bird
Rynchops niger,"Black Skimmer, Northern Black Skimmer",Bird
Sterna antillarum,"Eastern Least Tern, Least Tern",Bird
Sterna caspia,Caspian Tern,Bird
Sterna dougallii,"Northern Roseate Tern, Roseate Tern",Bird
Sterna fuscata,"Eastern Sooty Tern, Sooty Tern",Bird
Sterna hirundo,"Common Tern, Northern Common Tern",Bird
Sterna maxima,Royal Tern,Bird
Sterna paradisaea,Arctic Tern,Bird
Xema sabini,"Northern Sabine's Gull, Sabine's Gull",Bird
Recurvirostra americana,"American Avocet, Avocet",Bird
Actitis macularia,Spotted Sandpiper,Bird
Arenaria interpres,Ruddy Turnstone,Bird
Bartramia longicauda,"Bartramian Sandpiper, Upland Plover, Upland Sandpiper",Bird
Calidris alba,Sanderling,Bird
Calidris alpina,"Dunlin, Red-Backed Dunlin, Red-Backed Sandpiper",Bird
Calidris bairdii,Baird's Sandpiper,Bird
Calidris canutus,"American Knot, Knot, Red Knot",Bird
Calidris fuscicollis,White-Rumped Sandpiper,Bird
Calidris himantopus,Stilt Sandpiper,Bird
Calidris maritima,Purple Sandpiper,Bird
Calidris mauri,Western Sandpiper,Bird
Calidris melanotos,Pectoral Sandpiper,Bird
Calidris minutilla,Least Sandpiper,Bird
Calidris pusilla,Semipalmated Sandpiper,Bird
Catoptrophorus semipalmatus,"Eastern Willet, Willet",Bird
Gallinago gallinago,"Common Snipe, Wilson's Common Snipe, Wilson's Snipe",Bird
Limnodromus griseus,"Eastern Dowitcher, Short-Billed Dowitcher",Bird
Limnodromus scolopaceus,Long-Billed Dowitcher,Bird
Limosa haemastica,Hudsonian Godwit,Bird
Numenius americanus,"Long-Billed Curlew, Southern Long-Billed Curlew",Bird
Numenius borealis,Eskimo Curlew,Bird
Numenius phaeopus,"Hudsonian Curlew, Hudsonian Whimbrel, Whimbrel",Bird
Phalaropus fulicaria,Red Phalarope,Bird
Phalaropus lobatus,"Northern Phalarope, Red-Necked Phalarope",Bird
Phalaropus tricolor,Wilson's Phalarope,Bird
Scolopax minor,American Woodcock,Bird
Tringa flavipes,"Lesser Yellowlegs, Lesser Yellow-Legs",Bird
Tringa melanoleuca,"Greater Yellowlegs, Greater Yellow-Legs",Bird
Tringa solitaria,"Eastern Solitary Sandpiper, Solitary Sandpiper",Bird
Catharacta skua,Great Skua,Bird
Stercorarius longicaudus,Long-Tailed Jaeger,Bird
Stercorarius parasiticus,Parasitic Jaeger,Bird
Stercorarius pomarinus,Pomarine Jaeger,Bird
Columba livia,"Domestic Pigeon, Feral Pigeon, Pigeon, Rock Dove",Bird
Ectopistes migratorius,Passenger Pigeon,Bird
Zenaida macroura,"Eastern Mourning Dove, Mourning Dove",Bird
Ceryle alcyon,"Belted Kingfisher, Eastern Belted Kingfisher",Bird
Coccyzus americanus,"Eastern Yellow-Billed Cuckoo, Yellow-Billed Cuckoo",Bird
Coccyzus erythropthalmus,Black-Billed Cuckoo,Bird
Falco columbarius,"Eastern Pigeon Hawk, Merlin, Pigeon Hawk",Bird
Falco peregrinus,"American Peregrine Falcon, Duck Hawk, Peregrine Falcon",Bird
Falco rusticolus,"American Gyrfalcon, Gyrfalcon, White Gyrfalcon",Bird
Falco sparverius,"American Kestrel, Eastern Sparrow Hawk, Northern Sparrow Hawk, Sparrow Hawk",Bird
Colinus virginianus,"Bob-White, Northern Bobwhite",Bird
Bonasa umbellus,"Canada Ruffed Grouse, Partridge, Ruffed Grouse, Timber Grouse",Bird
Falcipennis canadensis,"Canada Grouse, Canada Spruce Grouse, Haith Hen, Heath Hen, Spruce Grouse, Spruce Partridge",Bird
Meleagris gallopavo,"Eastern Turkey, Wild Turkey",Bird
Perdix perdix,"Common Partridge, European Gray Partridge, European Partridge, Gray Partridge",Bird
Phasianus colchicus,"Pheasant, Ring-Necked Pheasant",Bird
Tympanuchus cupido cupido,Heath Hen,Bird
Gavia immer,"Common Loon, Greater Common Loon",Bird
Gavia pacifica,Pacific Loon,Bird
Gavia stellata,Red-Throated Loon,Bird
Grus canadensis,Sandhill Crane,Bird
Fulica americana,"American Coot, Northern American Coot",Bird
Gallinula chloropus,"Common Gallinule, Common Moorhen, Florida Gallinule",Bird
Porphyrula martinica,Purple Gallinule,Bird
Porzana carolina,"Sora Rail, Sora",Bird
Rallus elegans,"King Rail, Northern King Rail",Bird
Rallus limicola,"Northern Virginia Rail, Virginia Rail",Bird
Rallus longirostris,"Clapper Rail, Northern Clapper Rail",Bird
Eremophila alpestris,"Horned Lark, Northern Horned Lark",Bird
Bombycilla cedrorum,Cedar Waxwing,Bird
Bombycilla garrulus,"Bohemian Waxwing, Greater Waxwing",Bird
Calcarius lapponicus,"Common Lapland Longspur, Lapland Longspur",Bird
Plectrophenax nivalis,"Eastern Snow Bunting, Snow Bunting, Snowflake",Bird
Cardinalis cardinalis,"Eastern Cardinal, Northern Cardinal",Bird
Guiraca caerulea,"Blue Grosbeak, Eastern Blue Grosbeak",Bird
Passerina amoena,Lazuli Bunting,Bird
Passerina ciris,Painted Bunting,Bird
Passerina cyanea,Indigo Bunting,Bird
Pheucticus ludovicianus,Rose-Breasted Grosbeak,Bird
Piranga ludoviciana,Western Tanager,Bird
Piranga olivacea,Scarlet Tanager,Bird
Piranga rubra,"Eastern Summer Tanager, Summer Tanager",Bird
Spiza americana,Dickcissel,Bird
Certhia americana,"Brown Creeper, Eastern Brown Creeper",Bird
Corvus brachyrhynchos,"American Crow, Common Crow, Crow, Eastern Crow",Bird
Corvus corax,"Common Raven, Northern Raven, Raven",Bird
Cyanocitta cristata,"Blue Jay, Northern Blue Jay",Bird
Perisoreus canadensis,"Canada Gray Jay, Canada Jay, Gray Jay",Bird
Ammodramus caudacutus,"Intermediate Sharp-Tailed Sparrow, Saltmarsh Sharp-Tailed Sparrow",Bird
Ammodramus leconteii,"Le Conte's Sparrow, Leconte's Sparrow",Bird
Ammodramus nelsoni,Nelson's Sharp-Tailed Sparrow,Bird
Ammodramus savannarum,"Eastern Grasshopper Sparrow, Grasshopper Sparrow",Bird
Calamospiza melanocorys,Lark Bunting,Bird
Chondestes grammacus,"Eastern Lark Sparrow, Lark Sparrow",Bird
Junco hyemalis,"Dark-Eyed Junco, Northern Slate-Colored Junco, Slate-Colored Junco",Bird
Melospiza georgiana,"Eastern Swamp Sparrow, Swamp Sparrow",Bird
Melospiza lincolnii,"Lincoln's Sparrow, Northern Lincoln's Sparrow",Bird
Melospiza melodia,"Eastern Song Sparrow, Song Sparrow",Bird
Passerculus sandwichensis,"Eastern Savannah Sparrow, Savannah Sparrow",Bird
Passerella iliaca,"Eastern Fox Sparrow, Fox Sparrow",Bird
Pipilo chlorurus,Green-Tailed Towhee,Bird
Pipilo erythrophthalmus,"Eastern Towhee, Red-Eyed Towhee, Rufous-Sided Towhee",Bird
Pipilo maculatus,Spotted Towhee,Bird
Pooecetes gramineus,"Eastern Vesper Sparrow, Vesper Sparrow",Bird
Spizella arborea,"American Tree Sparrow, Eastern Tree Sparrow, Tree Sparrow",Bird
Spizella pallida,Clay-Colored Sparrow,Bird
Spizella passerina,"Chipping Sparrow, Eastern Chipping Sparrow",Bird
Spizella pusilla,"Eastern Field Sparrow, Field Sparrow",Bird
Zonotrichia albicollis,White-Throated Sparrow,Bird
Zonotrichia atricapilla,Golden-Crowned Sparrow,Bird
Zonotrichia leucophrys,"Eastern White-Crowned Sparrow, White-Crowned Sparrow",Bird
Zonotrichia querula,"Harris' Sparrow, Harris's Sparrow",Bird
Carduelis flammea,"Common Redpoll, Greater Redpoll, Mealy Redpoll",Bird
Carduelis hornemanni,"Coues' Hoary Redpoll, Hoary Redpoll",Bird
Carduelis pinus,"Northern Pine Siskin, Pine Siskin",Bird
Carduelis tristis,"American Goldfinch, Eastern American Goldfinch, Eastern Goldfinch, Goldfinch",Bird
Carpodacus mexicanus,House Finch,Bird
Carpodacus purpureus,"Eastern Purple Finch, Purple Finch",Bird
Coccothraustes vespertinus,"Eastern Evening Grosbeak, Evening Grosbeak",Bird
Loxia curvirostra,Red Crossbill,Bird
Loxia leucoptera,White-Winged Crossbill,Bird
Pinicola enucleator,"Canadian Pine Grosbeak, Newfoundland Pine Grosbeak, Pine Grosbeak",Bird
Hirundo rustica,Barn Swallow,Bird
Petrochelidon pyrrhonota,"Cliff Swallow, Eastern Cliff Swallow, Eave Swallow, Northern Cliff Swallow",Bird
Progne subis,"Northern Purple Martin, Purple Martin",Bird
Riparia riparia,"Bank Swallow, Common Bank Swallow",Bird
Stelgidopteryx serripennis,"Northern Rough-Winged Swallow, Rough-Winged Swallow",Bird
Tachycineta bicolor,Tree Swallow,Bird
Agelaius phoeniceus,"Eastern Red-Wing, Eastern Red-Winged Blackbird, Red-Winged Blackbird",Bird
Dolichonyx oryzivorus,Bobolink,Bird
Euphagus carolinus,Rusty Blackbird,Bird
Euphagus cyanocephalus,Brewer's Blackbird,Bird
Icterus bullockii,Bullock's Oriole,Bird
Icterus galbula,"Baltimore Oriole, Northern Oriole",Bird
Icterus spurius,Orchard Oriole,Bird
Molothrus ater,"Brown-Headed Cowbird, Cowbird, Eastern Cowbird",Bird
Quiscalus quiscula,"Bronzed Grackle, Common Grackle",Bird
Sturnella magna,Eastern Meadowlark,Bird
Xanthocephalus xanthocephalus,Yellow-Headed Blackbird,Bird
Lanius excubitor,"Great Gray Shrike, Northern Shrike",Bird
Lanius ludovicianus,"Loggerhead Shrike, Migrant Loggerhead Shrike, Migrant Shrike",Bird
Dumetella carolinensis,"Catbird, Gray Catbird",Bird
Mimus polyglottos,"Eastern Mockingbird, Mockingbird, Northern Mockingbird",Bird
Toxostoma rufum,"Brown Thrasher, Eastern Brown Thrasher",Bird
Anthus rubescens,"American Pipit, American Water Pipit, Water Pipit",Bird
Oenanthe oenanthe,"Greenland Wheatear, Northern Wheatear",Bird
Baeolophus bicolor,Tufted Titmouse,Bird
Poecile atricapillus,Black-Capped Chickadee,Bird
Poecile hudsonicus,Acadian Boreal Chickadee,Bird
Dendroica caerulescens,"Black-Throated Blue Warbler, Northern Black-Throated Blue Warbler",Bird
Dendroica castanea,Bay-Breasted Warbler,Bird
Dendroica cerulea,Cerulean Warbler,Bird
Dendroica coronata,"Butter Butt, Eastern Myrtle Warbler, Myrtle Warbler, Yellow-Rumped Warbler",Bird
Dendroica discolor,"Northern Prairie Warbler, Prairie Warbler",Bird
Dendroica dominica,Yellow-Throated Warbler,Bird
Dendroica fusca,Blackburnian Warbler,Bird
Dendroica magnolia,Magnolia Warbler,Bird
Dendroica palmarum,"Palm Warbler, Yellow Palm Warbler",Bird
Dendroica pensylvanica,Chestnut-Sided Warbler,Bird
Dendroica petechia,"Eastern Yellow Warbler, Yellow Warbler",Bird
Dendroica pinus,"Northern Pine Warbler, Pine Warbler",Bird
Dendroica striata,"Blackpoll Warbler, Black-Poll Warbler",Bird
Dendroica tigrina,Cape May Warbler,Bird
Dendroica townsendi,Townsend's Warbler,Bird
Dendroica virens,"Black-Throated Green Warbler, Northern Black-Throated Green Warbler",Bird
Geothlypis trichas,"Common Yellowthroat, Maryland Yellow Throat, Maryland Yellowthroat, Northern Yellowthroat, Northern Yellow-Throat, Yellowthroat, Yellow-Throat",Bird
Helmitheros vermivorus,Worm-Eating Warbler,Bird
Icteria virens,Yellow-Breasted Chat,Bird
Mniotilta varia,"Black And White Creeper, Black And White Warbler, Black-And-White Warbler",Bird
Oporornis agilis,Connecticut Warbler,Bird
Oporornis formosus,Kentucky Warbler,Bird
Oporornis philadelphia,Mourning Warbler,Bird
Parula americana,"Northern Parula, Northern Parula Warbler, Parula Warbler",Bird
Protonotaria citrea,Prothonotary Warbler,Bird
Seiurus aurocapillus,"Common Oven-Bird, Ovenbird",Bird
Seiurus motacilla,"Louisiana Waterthrush, Louisiana Water-Thrush",Bird
Seiurus noveboracensis,"Northern Waterthrush, Northern Water-Thrush",Bird
Setophaga ruticilla,"American Redstart, Redstart",Bird
Vermivora celata,"Eastern Orange-Crowned Warbler, Orange-Crowned Warbler",Bird
Vermivora chrysoptera,Golden-Winged Warbler,Bird
Vermivora peregrina,Tennessee Warbler,Bird
Vermivora pinus,Blue-Winged Warbler,Bird
Vermivora ruficapilla,"Eastern Nashville Warbler, Nashville Warbler",Bird
Wilsonia canadensis,Canada Warbler,Bird
Wilsonia citrina,Hooded Warbler,Bird
Wilsonia pusilla,"Wilson's Pileolated Warbler, Wilson's Warbler",Bird
Passer domesticus,"English Sparrow, European House Sparrow, House Sparrow",Bird
Polioptila caerulea,Blue-Gray Gnatcatcher,Bird
Regulus calendula,"Eastern Ruby-Crowned Kinglet, Ruby-Crowned Kinglet",Bird
Regulus satrapa,"Eastern Golden-Crowned Kinglet, Golden-Crowned Kinglet",Bird
Sitta canadensis,Red-Breasted Nuthatch,Bird
Sitta carolinensis,"Eastern White-Breasted Nuthatch, White-Breasted Nuthatch",Bird
Sturnus vulgaris,"Common Starling, European Starling, Starling",Bird
Cistothorus palustris,"Long-Billed Marsh Wren, Marsh Wren, Prairie Marsh Wren",Bird
Cistothorus platensis,"Sedge Wren, Short-Billed Marsh Wren, Short-Billed Sedge Wren",Bird
Thryomanes bewickii,"Bewick's Wren, Eastern Bewick's Wren",Bird
Thryothorus ludovicianus,"Carolina Wren, Northern Carolina Wren",Bird
Troglodytes aedon,"Eastern House Wren, House Wren",Bird
Troglodytes troglodytes,"Eastern Winter Wren, Winter Wren",Bird
Catharus bicknelli,"Bicknell's Gray-Cheeked Thrush, Bicknell's Thrush",Bird
Catharus fuscescens,"Eastern Veery, Veery, Wilson's Thrush",Bird
Catharus guttatus,"Eastern Hermit Thrush, Hermit Thrush",Bird
Catharus minimus,"Gray-Cheeked Thrush, Northern Gray-Cheeked Thrush",Bird
Catharus ustulatus,"Olive-Backed Swainson's Thrush, Olive-Backed Thrush, Swainson's Thrush",Bird
Hylocichla mustelina,Wood Thrush,Bird
Ixoreus naevius,Varied Thrush,Bird
Myadestes townsendi,Townsend's Solitaire,Bird
Sialia sialis,"Bluebird, Eastern Bluebird",Bird
Turdus migratorius,"American Robin, Eastern Robin",Bird
Contopus cooperi,Olive-Sided Flycatcher,Bird
Contopus virens,"Eastern Wood Pewee, Wood Pewee",Bird
Empidonax alnorum,Alder Flycatcher,Bird
Empidonax flaviventris,Yellow-Bellied Flycatcher,Bird
Empidonax minimus,"Chebec, Least Flycatcher",Bird
Empidonax traillii,"Alder Traill's Flycatcher, Traills Flycatcher, Willow Flycatcher",Bird
Myiarchus cinerascens,Ash-Throated Flycatcher,Bird
Myiarchus crinitus,"Crested Flycatcher, Great Crested Flycatcher, Northern Crested Flycatcher",Bird
Pyrocephalus rubinus,Vermilion Flycatcher,Bird
Sayornis phoebe,"Eastern Phoebe, Phoebe",Bird
Sayornis saya,Say's Phoebe,Bird
Tyrannus forficatus,Scissor-Tailed Flycatcher,Bird
Tyrannus tyrannus,Eastern Kingbird,Bird
Tyrannus verticalis,"Arkansas Kingbird, Western Kingbird",Bird
Vireo flavifrons,Yellow-Throated Vireo,Bird
Vireo gilvus,"Eastern Warbling Vireo, Warbling Vireo",Bird
Vireo griseus,"Northern White-Eyed Vireo, White-Eyed Vireo",Bird
Vireo olivaceus,Red-Eyed Vireo,Bird
Vireo philadelphicus,Philadelphia Vireo,Bird
Vireo solitarius,"Blue-Headed Solitary Vireo, Blue-Headed Vireo, Solitary Vireo",Bird
Ardea alba,"American Egret, Common Egret?, Great Egret",Bird
Ardea herodias,"Great Blue Heron, Northern Great Blue Heron",Bird
Botaurus lentiginosus,American Bittern,Bird
Bubulcus ibis,Cattle Egret,Bird
Butorides virescens,"Eastern Green Heron, Green Heron, Green-Backed Heron",Bird
Egretta caerulea,"Little Blue Heron, Northern Little Blue Heron",Bird
Egretta thula,Snowy Egret,Bird
Egretta tricolor,Tricolored Heron,Bird
Ixobrychus exilis,"Least Bittern, Eastern Least Bittern",Bird
Nyctanassa violacea,"Yellow-Crowned Night Heron, Yellow-Crowned Night-Heron",Bird
Nycticorax nycticorax,"Black-Crowned Night Heron, Black-Crowned Night-Heron",Bird
Nycticorax violaceus,"Yellow-Crowned Night Heron, Yellow-Crowned Night-Heron",Bird
Pelecanus erythrorhynchos,"American White Pelican, White Pelican",Bird
Pelecanus occidentalis,Brown Pelican,Bird
Plegadis falcinellus,"Eastern Glossy Ibis, Glossy Ibis",Bird
Colaptes auratus,"Common Flicker, Flicker, Golden-Winged Flicker, Northern Flicker, Northern Yellow-Shafted Flicker, Yellow-Shafted Flicker",Bird
Dryocopus pileatus,"Northern Pileated Woodpecker, Pileated Woodpecker",Bird
Melanerpes carolinus,"Eastern Red-Bellied Woodpecker, Red-Bellied Woodpecker",Bird
Melanerpes erythrocephalus,"Eastern Red-Headed Woodpecker, Red-Headed Woodpecker",Bird
Picoides arcticus,"Arctic Three-Toed Woodpecker, Black-Backed Three-Toed Woodpecker, Black-Backed Woodpecker",Bird
Picoides pubescens,"Downy Woodpecker, Northern Downy Woodpecker",Bird
Picoides tridactylus,"American Three-Toed Woodpecker, Northern Three-Toed Woodpecker, Three-Toed Woodpecker",Bird
Picoides villosus,"Eastern Hairy Woodpecker, Hairy Woodpecker",Bird
Sphyrapicus varius,Yellow-Bellied Sapsucker,Bird
Podiceps auritus,Horned Grebe,Bird
Podiceps grisegena,"Holboell's Grebe, Holboell's Red-Necked Grebe, Red-Necked Grebe",Bird
Podiceps nigricollis,Eared Grebe,Bird
Podilymbus podiceps,Pied-Billed Grebe,Bird
Diomedea chlororhynchos,Yellow-Nosed Albatross,Bird
Oceanites oceanicus,"Atlantic Wilson's Petrel, Wilson's Petrel, Wilson's Storm-Petrel",Bird
Oceanodroma leucorhoa,"Leach's Petrel, Leach's Storm-Petrel, Northern Leach's Petrel",Bird
Calonectris diomedea,"Cory's Cinereous Shearwater, Cory's Shearwater, North Atlantic Shearwater",Bird
Fulmarus glacialis,"Atlantic Fulmar, Northern Fulmar",Bird
Puffinus gravis,Greater Shearwater,Bird
Puffinus griseus,Sooty Shearwater,Bird
Puffinus puffinus,"Manx Common Shearwater, Manx Shearwater",Bird
Aegolius acadicus,Northern Saw-Whet Owl,Bird
Aegolius funereus,"American Tengmalm's Owl, Boreal Owl, Richardson's Owl, Tengmalms' Owl",Bird
Asio flammeus,"Northern Short-Eared Owl, Short-Eared Owl",Bird
Asio otus,"American Long-Eared Owl, Long-Eared Owl",Bird
Bubo virginianus,"Eastern Horned Owl, Great Horned Owl",Bird
Nyctea scandiaca,Snowy Owl,Bird
Otus asio,"Eastern Screech-Owl, Screech Owl",Bird
Strix nebulosa,"American Great Gray Owl, Great Gray Owl",Bird
Strix varia,"Barred Owl, Northern Barred Owl",Bird
Surnia ulula,"American Hawk Owl, Hawk Owl, Northern Hawk Owl",Bird
Tyto alba,"Barn Owl, North American Barn Owl",Bird
Fregata magnificens,"Magnificent Frigatebird, Man-O'-War-Bird",Bird
